#    L    TT             EE             BB             TE          
     2    0.10896E+04    0.36423E-01    0.16439E-05    0.28482E+01
     3    0.10221E+04    0.47822E-01    0.32943E-05    0.32467E+01
     4    0.96024E+03    0.42871E-01    0.54911E-05    0.30851E+01
     5    0.91399E+03    0.29918E-01    0.82405E-05    0.26583E+01
     6    0.88190E+03    0.17498E-01    0.11541E-04    0.21635E+01
     7    0.86076E+03    0.95113E-02    0.15391E-04    0.17110E+01
     8    0.84716E+03    0.57328E-02    0.19793E-04    0.13517E+01
     9    0.84039E+03    0.43060E-02    0.24749E-04    0.11009E+01
    10    0.83746E+03    0.36724E-02    0.30262E-04    0.94935E+00
    11    0.83760E+03    0.31657E-02    0.36332E-04    0.88008E+00
    12    0.84124E+03    0.28504E-02    0.42957E-04    0.87072E+00
    13    0.84681E+03    0.24958E-02    0.50143E-04    0.90014E+00
    14    0.85354E+03    0.24419E-02    0.57889E-04    0.94858E+00
    15    0.86156E+03    0.26143E-02    0.66198E-04    0.10059E+01
    16    0.87103E+03    0.28457E-02    0.75071E-04    0.10661E+01
    17    0.88179E+03    0.32309E-02    0.84509E-04    0.11258E+01
    18    0.89291E+03    0.37302E-02    0.94515E-04    0.11850E+01
    19    0.90559E+03    0.43517E-02    0.10509E-03    0.12468E+01
    20    0.91850E+03    0.51553E-02    0.11623E-03    0.13112E+01
    21    0.93186E+03    0.60933E-02    0.12795E-03    0.13786E+01
    22    0.94576E+03    0.71797E-02    0.14024E-03    0.14479E+01
    23    0.96000E+03    0.84233E-02    0.15310E-03    0.15176E+01
    24    0.97468E+03    0.98002E-02    0.16654E-03    0.15859E+01
    25    0.98978E+03    0.11334E-01    0.18056E-03    0.16509E+01
    26    0.10051E+04    0.13020E-01    0.19515E-03    0.17117E+01
    27    0.10209E+04    0.14856E-01    0.21033E-03    0.17654E+01
    28    0.10370E+04    0.16863E-01    0.22608E-03    0.18105E+01
    29    0.10535E+04    0.19046E-01    0.24242E-03    0.18481E+01
    30    0.10702E+04    0.21417E-01    0.25933E-03    0.18781E+01
    31    0.10871E+04    0.23989E-01    0.27684E-03    0.19010E+01
    32    0.11042E+04    0.26765E-01    0.29492E-03    0.19167E+01
    33    0.11217E+04    0.29750E-01    0.31359E-03    0.19238E+01
    34    0.11394E+04    0.32957E-01    0.33285E-03    0.19216E+01
    35    0.11574E+04    0.36390E-01    0.35269E-03    0.19110E+01
    36    0.11755E+04    0.40057E-01    0.37312E-03    0.18918E+01
    37    0.11938E+04    0.43967E-01    0.39414E-03    0.18629E+01
    38    0.12124E+04    0.48127E-01    0.41574E-03    0.18247E+01
    39    0.12312E+04    0.52531E-01    0.43793E-03    0.17766E+01
    40    0.12502E+04    0.57174E-01    0.46071E-03    0.17175E+01
    41    0.12695E+04    0.62061E-01    0.48408E-03    0.16463E+01
    42    0.12889E+04    0.67207E-01    0.50803E-03    0.15626E+01
    43    0.13085E+04    0.72633E-01    0.53257E-03    0.14661E+01
    44    0.13280E+04    0.78344E-01    0.55770E-03    0.13573E+01
    45    0.13480E+04    0.84354E-01    0.58342E-03    0.12370E+01
    46    0.13682E+04    0.90676E-01    0.60972E-03    0.11037E+01
    47    0.13885E+04    0.97298E-01    0.63661E-03    0.95813E+00
    48    0.14090E+04    0.10421E+00    0.66409E-03    0.80370E+00
    49    0.14296E+04    0.11137E+00    0.69216E-03    0.64345E+00
    50    0.14506E+04    0.11874E+00    0.72081E-03    0.47361E+00
    51    0.14718E+04    0.12628E+00    0.75004E-03    0.28914E+00
    52    0.14935E+04    0.13408E+00    0.77987E-03    0.85646E-01
    53    0.15151E+04    0.14231E+00    0.81027E-03   -0.13926E+00
    54    0.15367E+04    0.15096E+00    0.84126E-03   -0.38001E+00
    55    0.15585E+04    0.16004E+00    0.87284E-03   -0.63090E+00
    56    0.15806E+04    0.16940E+00    0.90500E-03   -0.89269E+00
    57    0.16029E+04    0.17893E+00    0.93774E-03   -0.11656E+01
    58    0.16256E+04    0.18864E+00    0.97106E-03   -0.14509E+01
    59    0.16485E+04    0.19858E+00    0.10050E-02   -0.17500E+01
    60    0.16716E+04    0.20877E+00    0.10395E-02   -0.20627E+01
    61    0.16951E+04    0.21932E+00    0.10745E-02   -0.23885E+01
    62    0.17186E+04    0.23021E+00    0.11102E-02   -0.27282E+01
    63    0.17422E+04    0.24139E+00    0.11464E-02   -0.30819E+01
    64    0.17661E+04    0.25287E+00    0.11832E-02   -0.34505E+01
    65    0.17901E+04    0.26461E+00    0.12206E-02   -0.38339E+01
    66    0.18143E+04    0.27655E+00    0.12586E-02   -0.42300E+01
    67    0.18387E+04    0.28869E+00    0.12971E-02   -0.46368E+01
    68    0.18635E+04    0.30109E+00    0.13363E-02   -0.50534E+01
    69    0.18885E+04    0.31371E+00    0.13760E-02   -0.54790E+01
    70    0.19138E+04    0.32660E+00    0.14163E-02   -0.59163E+01
    71    0.19393E+04    0.33976E+00    0.14571E-02   -0.63683E+01
    72    0.19650E+04    0.35315E+00    0.14986E-02   -0.68355E+01
