#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10896E+04    0.36422E-01    0.00000E+00    0.28482E+01    0.49628E-07    0.32506E-02   -0.13376E-04
     3    0.10221E+04    0.47819E-01    0.00000E+00    0.32467E+01    0.60214E-07    0.32277E-02   -0.14500E-04
     4    0.96023E+03    0.42865E-01    0.00000E+00    0.30851E+01    0.69281E-07    0.31368E-02   -0.12530E-04
     5    0.91398E+03    0.29910E-01    0.00000E+00    0.26583E+01    0.77127E-07    0.30202E-02   -0.89224E-05
     6    0.88188E+03    0.17487E-01    0.00000E+00    0.21635E+01    0.83948E-07    0.28966E-02   -0.48818E-05
     7    0.86073E+03    0.94960E-02    0.00000E+00    0.17111E+01    0.89930E-07    0.27750E-02   -0.13166E-05
     8    0.84712E+03    0.57131E-02    0.00000E+00    0.13517E+01    0.95208E-07    0.26585E-02    0.12278E-05
     9    0.84034E+03    0.42813E-02    0.00000E+00    0.11010E+01    0.99891E-07    0.25468E-02    0.25663E-05
    10    0.83740E+03    0.36422E-02    0.00000E+00    0.94937E+00    0.10405E-06    0.24421E-02    0.28130E-05
    11    0.83753E+03    0.31294E-02    0.00000E+00    0.88010E+00    0.10777E-06    0.23463E-02    0.22723E-05
    12    0.84116E+03    0.28075E-02    0.00000E+00    0.87074E+00    0.11108E-06    0.22576E-02    0.13167E-05
    13    0.84672E+03    0.24457E-02    0.00000E+00    0.90017E+00    0.11403E-06    0.21746E-02    0.29008E-06
    14    0.85344E+03    0.23840E-02    0.00000E+00    0.94861E+00    0.11667E-06    0.20965E-02   -0.52440E-06
    15    0.86143E+03    0.25481E-02    0.00000E+00    0.10060E+01    0.11903E-06    0.20224E-02   -0.10200E-05
    16    0.87089E+03    0.27706E-02    0.00000E+00    0.10662E+01    0.12114E-06    0.19515E-02   -0.11641E-05
    17    0.88164E+03    0.31464E-02    0.00000E+00    0.11259E+01    0.12302E-06    0.18843E-02   -0.10482E-05
    18    0.89274E+03    0.36357E-02    0.00000E+00    0.11851E+01    0.12470E-06    0.18210E-02   -0.78801E-06
    19    0.90540E+03    0.42466E-02    0.00000E+00    0.12469E+01    0.12619E-06    0.17611E-02   -0.48116E-06
    20    0.91829E+03    0.50390E-02    0.00000E+00    0.13113E+01    0.12750E-06    0.17038E-02   -0.21519E-06
    21    0.93163E+03    0.59653E-02    0.00000E+00    0.13787E+01    0.12865E-06    0.16497E-02   -0.58286E-07
    22    0.94551E+03    0.70395E-02    0.00000E+00    0.14481E+01    0.12966E-06    0.15990E-02   -0.51254E-07
    23    0.95973E+03    0.82702E-02    0.00000E+00    0.15178E+01    0.13055E-06    0.15511E-02   -0.14632E-06
    24    0.97439E+03    0.96336E-02    0.00000E+00    0.15862E+01    0.13131E-06    0.15054E-02   -0.27980E-06
    25    0.98947E+03    0.11154E-01    0.00000E+00    0.16512E+01    0.13196E-06    0.14616E-02   -0.41030E-06
    26    0.10048E+04    0.12825E-01    0.00000E+00    0.17120E+01    0.13251E-06    0.14198E-02   -0.50841E-06
    27    0.10206E+04    0.14645E-01    0.00000E+00    0.17657E+01    0.13296E-06    0.13800E-02   -0.56969E-06
    28    0.10367E+04    0.16637E-01    0.00000E+00    0.18109E+01    0.13333E-06    0.13421E-02   -0.59349E-06
    29    0.10531E+04    0.18804E-01    0.00000E+00    0.18486E+01    0.13361E-06    0.13059E-02   -0.56975E-06
    30    0.10698E+04    0.21158E-01    0.00000E+00    0.18787E+01    0.13382E-06    0.12709E-02   -0.49646E-06
    31    0.10866E+04    0.23712E-01    0.00000E+00    0.19016E+01    0.13395E-06    0.12373E-02   -0.41295E-06
    32    0.11038E+04    0.26471E-01    0.00000E+00    0.19174E+01    0.13403E-06    0.12054E-02   -0.35867E-06
    33    0.11212E+04    0.29437E-01    0.00000E+00    0.19246E+01    0.13404E-06    0.11750E-02   -0.33311E-06
    34    0.11389E+04    0.32625E-01    0.00000E+00    0.19225E+01    0.13400E-06    0.11458E-02   -0.32685E-06
    35    0.11568E+04    0.36038E-01    0.00000E+00    0.19119E+01    0.13391E-06    0.11176E-02   -0.33452E-06
    36    0.11750E+04    0.39686E-01    0.00000E+00    0.18928E+01    0.13377E-06    0.10905E-02   -0.35116E-06
    37    0.11932E+04    0.43574E-01    0.00000E+00    0.18640E+01    0.13358E-06    0.10644E-02   -0.36959E-06
    38    0.12117E+04    0.47713E-01    0.00000E+00    0.18258E+01    0.13335E-06    0.10393E-02   -0.38233E-06
