#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
2.000000000000000000e+00 8.461595768787253543e-10 1.000000000001692342e+03 1.000000000001692342e+03 1.120678000000000111e+03 1.688773282284841113e-10 2.814622137141401855e-11
3.000000000000000000e+00 8.461596543499337654e-10 1.000000000001692342e+03 1.000000000001692342e+03 5.302083000000000084e+02 7.505659032377069890e-11 6.254715860314224370e-12
4.000000000000000000e+00 8.461597576448895840e-10 1.000000000001692342e+03 1.000000000001692342e+03 3.008261999999999716e+02 4.221933205712102782e-11 2.110966602856051391e-12
5.000000000000000000e+00 8.461598867636020123e-10 1.000000000001692342e+03 1.000000000001692342e+03 1.918405999999999949e+02 2.702037251655745393e-11 9.006790838852484239e-13
6.000000000000000000e+00 8.461600417060827343e-10 1.000000000001692342e+03 1.000000000001692342e+03 1.327290000000000134e+02 1.876414758094267472e-11 4.467654185938731981e-13
7.000000000000000000e+00 8.461602224723463291e-10 1.000000000001692342e+03 1.000000000001692342e+03 9.745529999999999404e+01 1.378590434518237505e-11 2.461768633068281258e-13
8.000000000000000000e+00 8.461604290624090301e-10 1.000000000001692342e+03 1.000000000001692342e+03 7.478762000000000398e+01 1.055483301428025696e-11 1.465949029761146715e-13
9.000000000000000000e+00 8.461606614762898624e-10 1.000000000001692342e+03 1.000000000001692342e+03 5.947957000000000249e+01 8.339621147085634108e-12 9.266245718984038571e-14
1.000000000000000000e+01 8.461609197140103327e-10 1.000000000001692342e+03 1.000000000001692342e+03 4.858715000000000117e+01 6.755093129139363482e-12 6.140993753763057321e-14
1.100000000000000000e+01 8.461612037755936021e-10 1.000000000001692342e+03 1.000000000001692342e+03 4.055883999999999645e+01 5.582721594330051697e-12 4.229334541159130054e-14
1.200000000000000000e+01 8.461615136610661404e-10 1.000000000001692342e+03 1.000000000001692342e+03 3.450970000000000226e+01 4.691036895235668681e-12 3.007074932843377101e-14
1.300000000000000000e+01 8.461618493704558649e-10 1.000000000001692342e+03 1.000000000001692342e+03 2.980562000000000111e+01 3.997096526117966118e-12 2.196206882482399028e-14
1.400000000000000000e+01 8.461622109037940016e-10 1.000000000001692342e+03 1.000000000001692342e+03 2.605923999999999907e+01 3.446476086295593762e-12 1.641179088712187632e-14
1.500000000000000000e+01 8.461625982611132243e-10 1.000000000001692342e+03 1.000000000001692342e+03 2.303143000000000029e+01 3.002263612950827811e-12 1.250943172062844911e-14
