#ell    N_ell^TT    N_ell^EE    N_ell^BB    C_ell^TT(delensed)  N_ell^dd    N_ell^phiphi
2.000000000000000000e+00 7.615436191908527062e-13 1.000000000000001478e+03 1.000000000000001478e+03 1.120678000000000111e+03 5.306882418396216391e-12 8.844804030660360315e-13
3.000000000000000000e+00 7.615436889149403122e-13 1.000000000000001478e+03 1.000000000000001478e+03 5.302083000000000084e+02 2.358614408176096623e-12 1.965512006813413768e-13
4.000000000000000000e+00 7.615437818804004498e-13 1.000000000000001478e+03 1.000000000000001478e+03 3.008260999999999967e+02 1.326720604599054098e-12 6.633603022995270741e-14
5.000000000000000000e+00 7.615438980872417020e-13 1.000000000000001478e+03 1.000000000000001478e+03 1.918405999999999949e+02 8.491011869433948568e-13 2.830337289811316000e-14
6.000000000000000000e+00 7.615440375354743682e-13 1.000000000000001478e+03 1.000000000000001478e+03 1.327290000000000134e+02 5.896536020440241556e-13 1.403937147723867022e-14
7.000000000000000000e+00 7.615442002251115749e-13 1.000000000000001478e+03 1.000000000000001478e+03 9.745529000000000508e+01 4.332148912976502836e-13 7.735980201743754840e-15
8.000000000000000000e+00 7.615443861561680644e-13 1.000000000000001478e+03 1.000000000000001478e+03 7.478762000000000398e+01 3.316801511497635244e-13 4.606668765968937927e-15
9.000000000000000000e+00 7.615445953286608004e-13 1.000000000000001478e+03 1.000000000000001478e+03 5.947957000000000249e+01 2.620682675751218357e-13 2.911869639723576224e-15
1.000000000000000000e+01 7.615448277426091699e-13 1.000000000000001478e+03 1.000000000000001478e+03 4.858715000000000117e+01 2.122752967358487142e-13 1.929775424871351782e-15
1.100000000000000000e+01 7.615450833980340745e-13 1.000000000000001478e+03 1.000000000000001478e+03 4.055883000000000038e+01 1.754341295337592406e-13 1.329046435861812417e-15
1.200000000000000000e+01 7.615453622949594453e-13 1.000000000000001478e+03 1.000000000000001478e+03 3.450970000000000226e+01 1.474134005110060389e-13 9.449576955833720038e-16
1.300000000000000000e+01 7.615456644334102227e-13 1.000000000000001478e+03 1.000000000000001478e+03 2.980561000000000149e+01 1.256066844590820827e-13 6.901466179070444375e-16
